Series Name,Country Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Electricity production from coal sources (% of total),United States,1.0875172713093022,-1.0744218712435014,-0.6184083904395052,0.7784340601778013,-1.2617252991265957,-0.976127459195304,0.723868154671905,-0.9844780896210068,0.06039680253900315,-0.6842085779054017,-0.7789683226487014,0.11053035386890286,-3.666708212927702,0.35987416203630573,-2.451841670848104,-4.865908394232399,1.4632855440998966,-0.2924085472965956,-5.417998961543304
Electricity production from coal sources (% of total),Canada,1.6230131866277002,1.7042944027964992,-0.3940331957529004,0.7762741967918991,0.5720739419276022,-0.38731016204410196,-0.496668626595099,-2.2252021981210994,-0.6699495038755003,-0.9599990018123989,0.8529549882323977,-1.2363612355193982,-1.9477774206596,0.2535143415079997,-1.3592929363659998,-1.6968267384865001,-0.3166632330007495,0.11773051890740938,-0.08067843865874025
Electricity production from coal sources (% of total),India,-1.5446566353229088,-2.1364284877421937,0.16217735977529912,1.5415482178904938,0.9176330381071125,0.4764074381130996,-2.0620414936167037,-0.1397430751713955,-0.8320436802968061,-0.1713875563790026,-1.206191078083691,2.962638072572588,-1.4766744747205962,0.21027665106140603,-0.4183198274561022,4.876076800436991,0.8866830512104116,1.9694477574480942,0.8172130910440956
Electricity production from coal sources (% of total),China,0.16168470788470302,-0.7231433337019979,2.0350398708022936,0.5424516670998969,-1.9611801088092022,1.2911238873082027,2.0119874219574996,-1.3818702988962883,1.0224197938931923,1.1433781845645967,0.6147393128805021,-2.2037215957785037,-0.367843851051191,-1.1954757526255975,1.6899289019687984,-3.2182109897450033,-0.3798434798743955,-2.645160764850104,-2.3244808566006014
Electricity production from coal sources (% of total),Australia,0.7959437622572949,1.0362583872615971,-1.2511708985406926,0.2787301536623943,0.2613864124613059,-6.18036288345121,0.3804485941053031,0.1673480531001985,1.8716866979104054,0.0935301040124017,-2.5680442131226044,-1.2187410194382977,-0.9348939875888078,-3.5722958363870987,-3.339362514462195,0.5666852247059069,-4.83957186270581,-2.551067461774096,1.7072917273377968
Electricity production from coal sources (% of total),"Korea, Rep.",2.8669545284663016,5.976292609506899,-1.2945945878838003,2.728664243902898,1.3180053243710006,0.6547614061811018,-1.4710724236513997,-0.30521453012330113,-0.4441322389253983,-0.34787571405600204,2.0675221095710015,3.1153412157622,3.0463556622594012,-2.0970289082391034,-0.9728293427371995,1.9081446727797982,-3.6514432251748943,0.9808359627013985,0.6665807697877995
Electricity production from coal sources (% of total),Japan,0.7827778192810975,0.08594485423740039,1.672146715919503,1.5708840243932976,1.9005674786412001,1.235145839902799,1.7576202500235034,0.08113352233059956,0.7676818936300975,-0.6397976935493972,0.7594015828947995,-0.11596299947420263,-0.057274831643997715,-0.0175856073097016,-0.05518898459029842,2.6221260273026985,3.2037913121673007,-0.18393641541649686,0.4108015185129972
Electricity production from coal sources (% of total),Singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0127738391773648,0.6313921847130641,0.45344434467984107,0.09846222887097
Electricity production from coal sources (% of total),Thailand,0.8334673363047997,-2.060970702635899,-0.2860951975471018,0.3214189968648,0.880576704106403,-2.1189644621784005,-0.7224839194173995,-0.16842317089140124,-0.8648818181167002,2.7179708994659,3.2175866778481996,0.09179190952589877,-1.3117883084977997,-1.4037162835702972,3.4791024339223,-2.318704624025301,2.083325712104699,-0.30100755125389966,-2.3240420326050995
Electricity production from coal sources (% of total),Vietnam,3.356596989218801,-1.333520299246203,-3.672548866812198,-0.570171248050201,-1.2894282466464002,3.113629700556201,4.0563465829888,-2.1606174268664002,7.1678953107574,0.6407797612930004,-1.513334793320599,-1.7586140767543021,-2.050659144084399,2.7384829464762,0.8039258568623993,-0.41478398745859835,3.3759686038095005,-1.2675276159751014,6.326363342838398
