Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,23,28.5609741210938,34.253246307373,42.4,45.6705551147461,42.7,43.2220189082037,69.1,68.9332656860352,89.5,71.5,97.7,97.7,98.7132034301758,..,..
Afghanistan,AFG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,..,..,..,..,..,..,..,..,..,8.02072361523604,13.1684457435928,19.8682661958702,27.9542507444805,33.3787377018912,30.2188002485248,29.5728807664918,60.8491567562828,61.2821986356521,86.5005119066394,64.573353938483,97.0993597954095,97.0919732441472,98.2728721849277,..,..
Afghanistan,AFG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,..,..,..,..,..,..,..,..,..,74,80.3641815185547,82.1058807373047,89.9,85.6220932006836,82.8,86.5677791512155,95,92.6737670898438,98.7,92.5,99.5,99.5,100,..,..
Afghanistan,AFG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,..,..,..,..,..,..,1.1133055083904,0.719336357266684,0.44513961032127,0.384138014842015,0.501578226263565,0.445735403142304,0.604206062575377,0.406228568342954,0.587141122964577,0.841022798218308,0.676042625159413,0.526532902745618,0.497003909713743,0.482763041510179,0.597256723402012,0.659662723684155,0.67274095744457,..,..
Afghanistan,AFG,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,..,..,..,..,..,..,0.00455196123888061,0.00816349379689686,0.0171697025903176,0.0111898429304667,0.0111318844971466,0.0747642794341621,0.219312059617703,0.116498066472492,0.19302219420844,0.473172643796676,0.251010712447276,0.218204610872043,0.213476300637795,0.162182769579477,0.230077729596114,0.372824803562258,0.454992040837558,..,..
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.9,100,100,100,100,100,100,..,..
Albania,ALB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,..,..
Albania,ALB,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.9,99.9986724853516,100,100,100,100,100,..,..
